date,interval_arbitrage,confidence_weighted,unhedged,hedged
2025-01-01,2106407.0982975634,3006357.0,-6184797.722618192,-6184797.722618192
2025-01-01,1938253.6753841606,882251.0000000002,-5947322.580443446,-5947322.580443446
2025-01-01,1751200.1799092712,605387.9999999998,-6580772.361930354,-6580772.361930354
2025-01-01,7779795.622895047,-211082.99999999988,-12807332.981712693,-12807332.981712691
2025-01-01,7793711.250745063,3074399.9999999995,-12500424.84838573,-12500424.84838573
2025-01-01,192039.66647404357,10648568.0,-2911764.1624686876,-2911764.1624686876
2025-01-01,4188192.1256259517,8415810.0,-9460510.98444389,-9460510.98444389
2025-01-01,2660424.5639503156,1521603.9999999998,-8146286.245195355,-8146286.245195355
2025-01-01,6552745.5608202275,1451861.0000000002,-10568845.83010334,-10568845.83010334
2025-01-01,3190312.7012876123,1293092.0000000002,-9015644.28685001,-9015644.28685001
2025-01-01,7290358.475566848,7979323.999999998,-12829472.24692281,-12829472.246922811
2025-01-01,12267903.774719596,6019306.000000002,-16143317.499994315,-16143317.499994317
2025-01-01,3657276.439034916,2937315.0,-7819547.288280572,-7819547.288280574
2025-01-01,3750767.076968737,8855257.0,-10064356.32976985,-10064356.32976985
2025-01-01,6315092.292555862,-2255940.999999999,-10747669.959162746,-10747669.959162746
2025-01-01,484870.0288552606,4386009.0,-4331030.291726457,-4331030.291726457
2025-01-01,2241592.8403451024,813729.9999999995,-5214341.402536176,-5214341.402536177
2025-01-01,2349514.8198599154,2390922.9999999995,-5154824.7474335255,-5154824.747433526
2025-01-01,3400622.1487022922,1274819.9999999993,-7272731.059824025,-7272731.059824025
2025-01-01,6905731.301307926,10212941.0,-12804831.062340448,-12804831.06234045
2025-01-01,5437974.647989316,9863595.0,-8401908.174974985,-8401908.174974985
2025-01-01,2708284.493359646,2228200.0,-7234215.896250874,-7234215.896250874
2025-01-01,2541907.6325468104,3409606.0,-7333184.137583458,-7333184.137583458
2025-01-01,4502862.763761311,3523423.0000000005,-7430796.902336523,-7430796.902336523
2025-01-01,6152796.522059071,863676.9999999998,-9149268.661816042,-9149268.661816042
2025-01-01,9731653.298769934,-3016682.0,-14192171.655697692,-14192171.655697692
2025-01-01,407461.9654853351,18980085.0,-5239141.818318127,-5239141.818318125
2025-01-01,1185134.5135067683,8623394.0,-5951292.546077687,-5951292.546077687
2025-01-01,8428516.99277075,4347911.0,-11592637.553952891,-11592637.55395289
2025-01-01,7603740.406512246,1913095.0,-10370013.054346401,-10370013.054346403
2025-01-01,11203428.769077454,1077549.0000000002,-15405427.541789662,-15405427.541789662
2025-01-01,13762957.405506296,7600744.999999999,-15243960.722370438,-15243960.722370438
2025-01-01,16273921.407817854,-5367634.0,-19210368.881959118,-19210368.881959118
2025-01-01,1105541.2670181235,6348689.0,-5451532.791771634,-5451532.791771634
2025-01-02,7750094.297870237,20844045.0,-10082820.241184674,-10082820.241184674
2025-01-02,1297218.1267864164,2591479.0,-4866842.645041166,-4866842.645041166
2025-01-02,5416903.570135573,1935441.0000000002,-7434701.887368684,-7434701.887368684
2025-01-02,7302617.116631333,-3542974.0,-10168671.544254197,-10168671.544254197
2025-01-02,2154608.7632689294,5278320.0,-9199028.03250184,-9199028.03250184
2025-01-02,15077620.385732051,7131169.000000001,-20353427.2846224,-20353427.2846224
2025-01-02,9393908.444211034,-4447309.0,-15079017.572391424,-15079017.572391424
2025-01-02,382862.4017247568,14362831.0,-6314017.455832319,-6314017.455832319
2025-01-02,5161012.200927957,3124604.0,-9136310.337858308,-9136310.337858308
2025-01-02,10060400.048775395,3160145.999999999,-13672654.765676191,-13672654.765676191
2025-01-02,6903263.984266065,4605504.0,-10696607.000144962,-10696607.000144962
2025-01-02,8268047.48230178,-1219808.0,-12638145.909802219,-12638145.90980222
2025-01-02,10756332.956567394,-1125504.0,-15638977.295339813,-15638977.295339812
2025-01-02,13714781.16481519,4988669.0,-20037347.760829173,-20037347.760829173
2025-01-02,5304881.623929837,22388185.0,-7962838.161500822,-7962838.161500822
2025-01-02,5007747.568625929,8078298.0,-9610477.158145178,-9610477.15814518
2025-01-02,10966435.384349443,-883080.0000000003,-13569035.34887571,-13569035.34887571
2025-01-02,11705985.544061758,247093.0,-14480259.67044546,-14480259.67044546
2025-01-02,17412688.16141703,-411674.0000000001,-21217077.13694813,-21217077.13694813
2025-01-02,17013166.24214846,302060.00000000006,-20549002.35486774,-20549002.35486774
2025-01-02,19656811.824724033,7426495.0,-21968446.688135535,-21968446.688135535
2025-01-02,13442943.486732434,7547255.0,-16941719.13615951,-16941719.13615951
2025-01-02,7303151.173123152,6955204.0,-12331229.797879858,-12331229.797879858
2025-01-02,4671727.605948172,496804.9999999999,-9810753.017862387,-9810753.017862387
2025-01-02,4781654.053455482,7182009.0,-12885474.962692676,-12885474.962692674
2025-01-02,7464889.833322169,12743237.0,-10042837.521085847,-10042837.521085847
2025-01-02,0.0,3210638.0,-6810802.22920064,-6810802.22920064
2025-01-02,4231810.100431221,7688878.0,-8174000.156670468,-8174000.156670469
2025-01-02,3095334.109097243,9930593.999999998,-8596342.898371572,-8596342.89837157
2025-01-02,5168529.771612351,3454761.0,-11434487.346263269,-11434487.346263267
2025-01-02,10478175.18182044,4191301.999999999,-14404811.181764498,-14404811.181764498
2025-01-02,12538572.2944028,-782506.9999999998,-16284040.967722833,-16284040.967722833
2025-01-02,6765022.045932212,8404493.0,-11385806.237611279,-11385806.237611277
2025-01-02,8804810.604963228,2879922.0,-12676989.699145634,-12676989.699145632
2025-01-02,5865555.1538597625,4895115.0,-8941312.019827206,-8941312.019827206
2025-01-02,2266524.896354827,12014939.0,-6112425.423739698,-6112425.423739698
2025-01-02,5337979.753971671,1253595.9999999998,-9035229.184352541,-9035229.184352541
2025-01-02,3405534.3356050397,-86240.99999999988,-7154957.522995201,-7154957.522995201
2025-01-02,2433077.4638506314,-284307.00000000035,-6920178.107746172,-6920178.107746172
2025-01-02,7159270.085673353,-2574659.0,-11761378.602544973,-11761378.602544973
2025-01-02,11072225.86935452,4907156.0,-16261211.415501604,-16261211.415501604
2025-01-02,3405336.79828622,12557518.0,-8949297.819310592,-8949297.819310592
2025-01-02,1458287.3584547366,5964970.0,-5691712.092375597,-5691712.092375597
2025-01-02,5610967.285327717,-1596015.9999999998,-10046625.867715357,-10046625.867715359
2025-01-02,6755323.167112225,-2473788.0,-11693234.265548144,-11693234.265548144
2025-01-02,5612862.344245803,1538098.0000000005,-9091530.47183583,-9091530.47183583
2025-01-02,2253988.9634834547,13249721.0,-8712671.94859718,-8712671.94859718
2025-01-02,2782263.0048891013,-591485.0,-9940727.509641571,-9940727.509641571
2025-01-02,1451346.387807198,4948488.0,-8186933.670946331,-8186933.670946331
2025-01-02,7808212.389819693,6659539.0,-11302521.62682082,-11302521.626820818
2025-01-02,2058087.1811819673,3191488.0000000005,-7497124.935121463,-7497124.935121463
2025-01-02,0.0,2577346.9999999995,-4704823.478201938,-4704823.478201937
2025-01-02,7577965.745444544,-840384.0,-12493501.57704233,-12493501.57704233
2025-01-02,9776607.891030839,-1290074.0,-16148617.101774435,-16148617.101774435
2025-01-02,5652308.578904702,-2027573.0000000002,-12056820.969053678,-12056820.969053678
2025-01-02,10478910.327076951,-3648485.0,-17222533.770457752,-17222533.770457752
2025-01-02,14668543.892712032,8425431.0,-17805590.49630055,-17805590.49630055
2025-01-02,9028219.238357522,4384565.0,-15672686.802748378,-15672686.802748378
